Date,Open,High,Low,Close,Adj Close,Volume
2018-11-03,0.045740,0.051457,0.045740,0.051457,0.051457,6797
2018-11-04,0.051457,0.051614,0.048245,0.050656,0.050656,4341
2018-11-05,0.050786,0.058279,0.049260,0.049671,0.049671,15809
2018-11-06,0.049614,0.053604,0.042393,0.053326,0.053326,24029
2018-11-07,0.053447,0.065436,0.049673,0.058812,0.058812,74126
2018-11-08,0.058786,0.059105,0.051656,0.055307,0.055307,10306
2018-11-09,0.055284,0.058104,0.050411,0.055384,0.055384,15378
2018-11-10,0.055343,0.060458,0.051185,0.057287,0.057287,10979
2018-11-11,0.057203,0.057441,0.052650,0.057039,0.057039,5748
2018-11-12,0.056924,0.061261,0.050542,0.057317,0.057317,14883
2018-11-13,0.057328,0.059342,0.049958,0.051027,0.051027,18737
2018-11-14,0.050991,0.058833,0.046556,0.049247,0.049247,25839
2018-11-15,0.049438,0.050089,0.035591,0.045306,0.045306,43586
2018-11-16,0.045353,0.045353,0.040816,0.043302,0.043302,3367
2018-11-17,0.043273,0.043663,0.036724,0.043179,0.043179,9110
2018-11-18,0.043169,0.044542,0.042869,0.043176,0.043176,5639
2018-11-19,0.043437,0.043437,0.037128,0.037762,0.037762,35099
2018-11-20,0.037936,0.038641,0.031003,0.032456,0.032456,20684
2018-11-21,0.032594,0.035646,0.031271,0.033420,0.033420,9411
2018-11-22,0.033397,0.041926,0.033135,0.036224,0.036224,20220
2018-11-23,0.035985,0.036722,0.030834,0.032781,0.032781,2204
2018-11-24,0.032758,0.035126,0.030799,0.031545,0.031545,2692
2018-11-25,0.031452,0.034032,0.027045,0.031017,0.031017,7244
2018-11-26,0.030985,0.034492,0.029081,0.031401,0.031401,10513
2018-11-27,0.031359,0.033195,0.030190,0.031331,0.031331,6477
2018-11-28,0.031413,0.039066,0.030631,0.036495,0.036495,17242
2018-11-29,0.036547,0.038818,0.034111,0.035144,0.035144,6331
2018-11-30,0.035213,0.037107,0.031072,0.034062,0.034062,3832
2018-12-01,0.034144,0.037531,0.033620,0.035893,0.035893,4820
2018-12-02,0.035747,0.036836,0.033120,0.036152,0.036152,8537
2018-12-03,0.036126,0.036195,0.030997,0.034143,0.034143,9818
2018-12-04,0.034072,0.034352,0.032607,0.032905,0.032905,1631
2018-12-05,0.032944,0.032944,0.030222,0.030222,0.030222,1088
2018-12-06,0.030182,0.031228,0.026221,0.026221,0.026221,2049
2018-12-07,0.026174,0.028975,0.022768,0.028831,0.028831,3708
2018-12-08,0.028784,0.029520,0.026821,0.028479,0.028479,1120
2018-12-09,0.028386,0.030508,0.026775,0.026902,0.026902,1193
2018-12-10,0.026856,0.029167,0.026844,0.028718,0.028718,2163
2018-12-11,0.028688,0.029623,0.026637,0.029432,0.029432,2220
2018-12-12,0.029403,0.030551,0.028403,0.028460,0.028460,88
2018-12-13,0.028477,0.029934,0.025921,0.028534,0.028534,2393
2018-12-14,0.028596,0.032303,0.026588,0.032030,0.032030,3609
2018-12-15,0.032044,0.032442,0.028387,0.029078,0.029078,781
