Date,Open,High,Low,Close,Adj Close,Volume
2020-07-03,0.165298,0.172168,0.164213,0.170695,0.170695,13130
2020-07-04,0.170675,0.174701,0.165552,0.168763,0.168763,80417
2020-07-05,0.168761,0.173334,0.164377,0.167925,0.167925,78728
2020-07-06,0.167918,0.175078,0.165042,0.171226,0.171226,81894
2020-07-07,0.171183,0.176748,0.168066,0.168757,0.168757,65582
2020-07-08,0.168757,0.180090,0.168261,0.175255,0.175255,110942
2020-07-09,0.175292,0.176905,0.168745,0.172247,0.172247,135620
2020-07-10,0.172228,0.172810,0.167822,0.172089,0.172089,122023
2020-07-11,0.172089,0.172690,0.168202,0.170992,0.170992,89078
2020-07-12,0.170998,0.172445,0.169087,0.170752,0.170752,49890
2020-07-13,0.170752,0.173551,0.168341,0.170116,0.170116,39387
2020-07-14,0.170208,0.172063,0.167969,0.170844,0.170844,29489
2020-07-15,0.170844,0.173040,0.167934,0.172742,0.172742,28779
2020-07-16,0.172713,0.173229,0.167152,0.169350,0.169350,29650
2020-07-17,0.169339,0.178684,0.167304,0.177437,0.177437,63074
2020-07-18,0.177430,0.184108,0.167774,0.180913,0.180913,51635
2020-07-19,0.180904,0.185184,0.170383,0.184094,0.184094,52838
2020-07-20,0.184247,0.191417,0.179542,0.183976,0.183976,76934
2020-07-21,0.183913,0.188407,0.176681,0.182271,0.182271,90799
2020-07-22,0.182270,0.193728,0.182270,0.193387,0.193387,54528
2020-07-23,0.193387,0.199034,0.192139,0.196313,0.196313,69503
2020-07-24,0.196313,0.208530,0.195621,0.202458,0.202458,93610
2020-07-25,0.202477,0.225232,0.201573,0.216906,0.216906,69106
2020-07-26,0.216869,0.222174,0.205864,0.213617,0.213617,104757
2020-07-27,0.213619,0.223875,0.206337,0.219892,0.219892,110811
2020-07-28,0.222007,0.238964,0.219200,0.229420,0.229420,67379
2020-07-29,0.229444,0.240253,0.226360,0.227475,0.227475,58361
2020-07-30,0.227583,0.238663,0.225712,0.237238,0.237238,63690
2020-07-31,0.237238,0.252798,0.237238,0.250820,0.250820,91987
2020-08-01,0.250879,0.259749,0.248688,0.257821,0.257821,75330
